filename,filepath,category,width,height,DateTimeDigitized,Model,ExposureTime,FNumber,ISOSpeedRatings
DSC_0064.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0064.jpg,Nature,3222,4865,2017:07:28 20:09:45,NIKON D7000,0.0004,2.8,640
DSC_0074.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0074.jpg,Nature,4928,3264,2017:07:28 20:10:27,NIKON D7000,0.0004,2.8,640
DSC_0081.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0081.jpg,Nature,4928,3264,2017:07:28 20:12:50,NIKON D7000,0.0002,2.8,640
DSC_0095.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0095.jpg,Nature,4928,3264,2017:07:28 20:17:01,NIKON D7000,0.0008,2.8,640
DSC_0113.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0113.jpg,Nature,4780,3166,2017:07:28 20:20:22,NIKON D7000,0.0004,2.8,640
DSC_0141.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0141.jpg,Nature,4632,3068,2017:07:28 20:21:59,NIKON D7000,0.0003125,2.8,640
DSC_0171.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0171.jpg,Nature,4920,3259,2017:07:28 20:24:01,NIKON D7000,0.00125,2.8,640
DSC_0207.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0207.jpg,Nature,3060,4620,2017:07:28 20:26:19,NIKON D7000,0.0004,2.8,640
DSC_0268.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0268.jpg,Nature,4928,2772,2017:07:28 20:29:48,NIKON D7000,0.0004,2.8,640
DSC_0294.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0294.jpg,Nature,4206,2786,2017:07:28 20:30:32,NIKON D7000,0.000625,2.8,640
DSC_0299.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0299.jpg,Nature,4741,3140,2017:07:28 20:33:16,NIKON D7000,0.000625,2.8,640
DSC_0353-2.jpg,images/Nature/02 น้องใหม่ไหว้เจ้าพ่อ/DSC_0353-2.jpg,Nature,4713,2651,2017:07:28 20:39:08,NIKON D7000,0.001,5.6,640
