filename,filepath,category,Make,DateTimeOriginal,DateTimeDigitized,Model,DateTime,ExposureTime,FNumber,ISOSpeedRatings
_DSC6289.jpg,images/Nature/แปลงกัญชา มข/_DSC6289.jpg,Nature,NIKON CORPORATION,2021:10:18 09:30:50,2021:10:18 09:30:50,NIKON D810,2021:11:09 15:35:53,0.0004,2.2,250
_DSC6291.jpg,images/Nature/แปลงกัญชา มข/_DSC6291.jpg,Nature,NIKON CORPORATION,2021:10:18 09:31:08,2021:10:18 09:31:08,NIKON D810,2021:11:09 15:33:14,0.0004,2.2,250
_DSC6294.jpg,images/Nature/แปลงกัญชา มข/_DSC6294.jpg,Nature,NIKON CORPORATION,2021:10:18 09:32:20,2021:10:18 09:32:20,NIKON D810,2021:11:09 15:28:50,0.0005,2.2,250
_DSC6297.jpg,images/Nature/แปลงกัญชา มข/_DSC6297.jpg,Nature,NIKON CORPORATION,2021:10:18 09:32:51,2021:10:18 09:32:51,NIKON D810,2021:11:09 15:31:03,0.000625,2.2,250
_DSC6308.jpg,images/Nature/แปลงกัญชา มข/_DSC6308.jpg,Nature,NIKON CORPORATION,2021:10:18 09:35:18,2021:10:18 09:35:18,NIKON D810,2021:11:09 15:14:22,0.0008,2.2,200
_DSC6337.jpg,images/Nature/แปลงกัญชา มข/_DSC6337.jpg,Nature,NIKON CORPORATION,2021:10:18 09:59:37,2021:10:18 09:59:37,NIKON D810,2021:11:02 16:47:24,0.0004,2.2,200
_DSC6339.jpg,images/Nature/แปลงกัญชา มข/_DSC6339.jpg,Nature,NIKON CORPORATION,2021:10:18 09:59:46,2021:10:18 09:59:46,NIKON D810,2021:11:09 15:16:41,0.0004,2.2,200
_DSC6342.jpg,images/Nature/แปลงกัญชา มข/_DSC6342.jpg,Nature,NIKON CORPORATION,2021:10:18 09:59:50,2021:10:18 09:59:50,NIKON D810,2021:11:09 15:17:25,0.0004,2.2,200
_DSC6344.jpg,images/Nature/แปลงกัญชา มข/_DSC6344.jpg,Nature,NIKON CORPORATION,2021:10:18 10:00:35,2021:10:18 10:00:35,NIKON D810,2021:11:02 16:47:50,0.0004,2.2,200
_DSC6406.JPG,images/Nature/แปลงกัญชา มข/_DSC6406.JPG,Nature,NIKON CORPORATION,2021:10:18 10:12:58,2021:10:18 10:12:58,NIKON D810,2021:10:18 10:12:58,0.0003125,2.2,200
_DSC6408.jpg,images/Nature/แปลงกัญชา มข/_DSC6408.jpg,Nature,NIKON CORPORATION,2021:10:18 10:14:11,2021:10:18 10:14:11,NIKON D810,2021:11:02 16:48:16,0.0003125,2.2,200
_DSC6426.jpg,images/Nature/แปลงกัญชา มข/_DSC6426.jpg,Nature,NIKON CORPORATION,2021:10:18 10:18:54,2021:10:18 10:18:54,NIKON D810,2021:11:02 16:48:31,0.0005,2.2,160
_DSC6428.jpg,images/Nature/แปลงกัญชา มข/_DSC6428.jpg,Nature,NIKON CORPORATION,2021:10:18 10:18:58,2021:10:18 10:18:58,NIKON D810,2021:11:02 16:48:49,0.0005,2.2,160
_DSC6434.jpg,images/Nature/แปลงกัญชา มข/_DSC6434.jpg,Nature,NIKON CORPORATION,2021:10:18 10:19:52,2021:10:18 10:19:52,NIKON D810,2021:11:02 16:49:19,0.0005,2.2,160
_DSC6443.jpg,images/Nature/แปลงกัญชา มข/_DSC6443.jpg,Nature,NIKON CORPORATION,2021:10:18 10:22:05,2021:10:18 10:22:05,NIKON D810,2021:11:02 16:50:25,0.0005,2.2,160
_DSC6446.JPG,images/Nature/แปลงกัญชา มข/_DSC6446.JPG,Nature,NIKON CORPORATION,2021:10:18 10:22:09,2021:10:18 10:22:09,NIKON D810,2021:10:18 10:22:09,0.0005,2.2,160
